Corrected core depth (cm),S/Ti,Ti/K,Zr/Fe,Al/Si,Zr/Rb,Si/Ti
5,21122.97849,0.4744992362,0.5561887527,,0.06586397712,71.78575589
6,18090.94068,0.4337912205,3.667400134,0.2591340254,0.3944080425,62.83998455
7,16909.10844,0.3977269657,9.664464089,0.2711739398,0.8865717185,55.20186612
8,18176.59855,0.4028588289,8.02147372,0.2725035645,0.7912222793,57.08037994
9,21391.61351,0.4374633759,2.758882711,0.2633295479,0.3168092797,67.37766389
10,22280.52567,0.4684913145,1.120495602,0.2531873774,,70.50949373
11,23377.85329,0.4756147095,3.674679647,0.2537369622,,70.37755246
12,22852.83255,0.4737293455,6.144560979,0.2591218845,0.6340766746,68.27275801
13,24474.81637,0.4791944633,8.15191703,0.2583526794,0.8362642191,68.69789033
14,23382.26767,,12.06203899,0.2527184146,1.016871609,70.84642012
15,21433.63896,0.494680176,15.66319666,,1.180919419,67.11902283
16,18794.37427,0.4480919082,13.20267137,0.2570796208,1.042301069,60.62358919
17,17914.70165,0.435604538,14.18616689,0.2510197765,1.016768957,58.66618793
18,18711.91649,0.4359979142,14.90209353,0.2647668754,1.12103704,60.18787996
19,18797.19986,0.4524353808,14.65357003,0.259532044,1.062832452,61.62679208
20,18191.08805,0.4273914315,13.30918274,0.2711467769,1.004115227,61.12341705
21,18047.43516,0.4416417154,13.33826096,0.2649795067,1.034387721,61.4024568
22,18155.75499,0.4278655583,14.71511145,0.2718725285,1.151446779,61.16299948
23,17227.74262,0.4333767968,16.74995166,0.27359246,1.184998403,58.12524741
24,17406.99465,0.4377318128,14.22241684,0.265641198,1.057690144,60.53514122
24.6,17701.55104,0.413083758,15.56341582,0.279465054,1.139194053,59.3993088
,,,,,,
,,,,,,
27.6,18177.14445,0.4374861079,12.95430322,0.2664178424,0.9900880471,62.37707055
29.5,17471.74192,0.4193378189,14.28181309,0.2727578885,1.082935778,60.58851454
30,17918.23464,0.4425503717,15.11601326,0.267422832,1.155099143,61.08500806
31,17323.90507,0.4427628106,15.67222702,0.2680333495,1.23021203,60.05573266
32,17255.87074,0.4388267959,16.69952965,0.2686012414,1.179681659,59.46248193
33,18841.71145,0.4897478612,16.29880109,0.2581990242,1.164084101,64.6115901
34,17462.01673,0.4434485362,15.03108264,0.2658590754,1.163329999,60.24679922
35,17405.22676,0.4428424904,17.23795134,0.2639820867,1.250935114,59.8885459
36,16063.37321,0.4257100392,23.17466436,0.2752044162,1.519626922,55.74219584
37,17427.53891,0.4441710093,16.62987264,0.2628899885,1.238279972,59.59887712
38,17499.68973,0.4620844221,14.47184864,0.2628699067,1.150354463,60.14184368
39,17136.13132,0.45736499,16.52886556,0.2602316914,1.259451946,58.70534777
40,16801.34592,0.4250176516,16.6308487,0.2769642441,1.295981278,57.09577978
41,17825.1742,0.4309748892,16.24076805,0.265543181,1.169552609,59.09173961
42,18549.82341,0.4383313901,15.16855593,0.2709023347,1.17945208,61.09322025
43,19311.18566,0.4470177473,15.07219125,0.2619073724,1.171465878,63.39039931
44,19963.86263,0.4807839819,16.2671155,0.2570547336,1.232452869,66.84569354
45,19461.02901,0.4786111834,14.13643948,0.2585148997,1.092223951,65.55879344
46,19907.50195,0.4619833168,15.51088579,0.2617939697,1.169974642,64.36686454
47,20037.00399,0.4405189297,16.15502369,0.2640628236,1.292144906,62.7976735
48,19400.03438,0.4834933551,21.51144381,0.2554107752,1.703736756,63.20799915
49,19857.22861,0.4732063677,20.79494176,0.2592395363,1.679818433,63.0806127
50,19413.24448,0.4638588049,18.70249211,0.2565519713,1.506154718,61.74251411
51,20469.5706,0.4861370461,15.13544435,0.2569936914,1.250467367,66.30127155
52,15518.18754,0.3749993249,17.48972738,0.2855676647,1.268603531,52.82378722
53,19607.05189,0.4646879506,21.7251344,0.2558826218,1.71742797,65.19523009
54,21590.91145,,8.283613923,0.251725397,0.8693453701,69.18580316
55,22077.90027,0.464276898,6.621188028,0.2573819126,0.7463710227,66.4454138
56,19805.33737,0.448027486,9.811714246,0.2610325091,0.9112427245,61.94711302
57,21344.46436,0.4640338137,10.36125433,0.2582547822,1.155969543,63.93515298
58,15178.30999,0.4225966625,18.6343858,0.2971316325,1.495681994,51.41641436
59,20545.35727,0.4955172726,10.94137053,,1.052761229,67.66892291
60,22597.69275,0.4869447993,6.229737741,0.2558104953,,69.3268265
61,19215.58632,0.4299833827,11.47372115,0.2685760805,1.152916157,59.87445192
62,23060.54752,0.481141566,7.673331218,0.2732856438,0.815272493,69.81314764
63,21401.61762,0.4794421729,7.916041484,0.2552463023,0.8373131481,67.66694262
64,19881.6503,0.4594962654,10.24615817,0.2597125391,0.9304544342,65.10133189
