Num,Year,Hours,IVT max,IWV max,Category
1,1948,96,671.28,26.1,3
35,1948,24,474.24,21.4,1
42,1948,54,595.11,28.1,3
44,1948,18,567.89,23.5,1
49,1948,24,511.17,22.9,2
50,1948,24,511.71,19.2,2
70,1949,36,776.09,22.4,3
75,1949,30,540.44,25.5,2
114,1950,12,503.88,16.5,1
115,1950,48,524.72,25.1,3
116,1950,42,484.67,23.3,1
119,1950,24,599.6,21.3,2
126,1950,12,533.8,25.1,1
162,1950,54,815.93,28.3,4
167,1950,72,678.56,29.9,3
169,1950,6,666.92,27.7,1
170,1950,36,618.81,30.7,2
177,1951,30,482.82,18.4,1
178,1951,60,604.06,24.5,3
180,1951,54,482.36,23.9,2
213,1951,24,534.11,28.3,2
223,1951,36,562.92,24.6,2
227,1951,42,549.19,22.2,2
233,1951,30,377.06,23.4,1
234,1951,18,600.26,23.7,1
240,1952,6,520.97,19.6,1
241,1952,30,507.25,21.9,2
296,1952,48,681.34,22.3,3
301,1953,36,561.79,28.2,2
302,1953,30,489.17,23.8,1
316,1953,24,367.27,22.2,1
352,1953,36,675.81,25.8,2
354,1953,24,908.02,27.5,3
357,1953,18,516.3,27,1
365,1953,12,847.24,28.3,2
371,1954,24,447.63,16.6,1
375,1954,42,591.56,19.6,2
378,1954,42,588.69,22.1,2
390,1954,24,524.15,23.2,2
399,1954,12,584.4,28.9,1
408,1954,36,431.46,26.8,1
412,1954,36,519.62,23.4,2
419,1954,24,427.29,22,1
422,1954,24,758.25,28.3,3
483,1955,66,992.87,31.4,4
485,1956,60,660.72,21,3
487,1956,6,624.12,28.2,1
494,1956,36,625.38,17.1,2
533,1956,24,500.54,27.7,2
536,1956,6,548.91,22.1,1
544,1956,36,785.32,30.1,3
560,1957,24,718.73,21,2
561,1957,48,526,24.2,3
574,1957,12,620.79,28.7,1
593,1957,36,753.22,29.6,3
606,1957,18,655.84,28.4,1
616,1957,24,335.86,20.9,1
621,1958,6,503.13,20.9,1
622,1958,36,684.76,24.5,2
626,1958,66,543.59,25.4,3
629,1958,6,539.22,15.4,1
671,1958,18,509.8,24.3,1
683,1959,78,660.76,26,3
685,1959,12,622.67,21.4,1
690,1959,24,486.88,16.9,1
726,1959,18,627.85,28.8,1
730,1959,12,739.19,36.1,1
751,1960,30,500.12,22.4,2
756,1960,12,609.54,22.4,1
757,1960,18,748.35,27.6,1
758,1960,42,429.5,20.7,1
762,1960,48,447.7,23.6,2
765,1960,24,364.1,20.1,1
792,1960,12,678,29.2,1
806,1960,24,757.8,25.4,3
807,1960,24,607.98,20.4,2
824,1961,18,608,23.7,1
830,1961,12,512.79,18.7,1
850,1961,24,304.8,16.4,1
858,1961,18,523.84,18.9,1
867,1961,30,486.43,21.4,1
890,1962,6,618.69,26.1,1
915,1962,60,1217.23,30.6,5
923,1962,18,581.24,23.5,1
928,1962,18,560.87,26.5,1
937,1963,12,979.19,29.4,2
938,1963,18,508.76,26.9,1
950,1963,42,353.61,20.9,1
968,1963,18,551.11,21.9,1
974,1963,18,548.1,29.4,1
977,1963,18,508.61,20.7,1
988,1964,12,587.88,16.9,1
1030,1964,6,500.83,24.8,1
1032,1964,6,544.78,22.4,1
1038,1964,42,554.62,23.5,2
1040,1964,24,520.57,23,2
1041,1964,60,1059.55,27.4,5
1044,1965,12,524.62,17.1,1
1047,1965,18,775.72,23.9,2
1059,1965,36,466.24,18.5,1
1060,1965,24,484.49,25.1,1
1069,1965,18,597.2,30,1
1085,1965,42,741.49,28.7,2
1093,1965,6,748.73,18,1
1094,1966,30,399.64,19.9,1
1143,1966,12,515.33,20.9,1
1144,1966,18,660.51,23.2,1
1149,1966,24,446.04,22.1,1
1157,1967,78,548.62,23,3
1165,1967,18,797.28,21.9,2
1191,1967,48,888.16,25.7,4
1199,1967,18,565.13,26,1
1217,1968,24,587.87,25.4,2
1247,1968,30,404.95,23.3,1
1261,1968,60,643.37,29.2,3
1269,1968,18,507.98,32.2,1
1276,1968,24,563.64,23.6,2
1279,1968,18,519.26,20.4,1
1282,1969,18,584.97,24.4,1
1331,1969,36,657.12,24.9,2
1332,1969,36,691.41,28.2,2
1335,1970,30,476.98,19.8,1
1338,1970,6,563.73,25.3,1
1339,1970,54,537.66,28.9,3
1340,1970,6,578.1,23.7,1
1381,1970,6,572.5,23.5,1
1386,1970,30,583.25,23.6,2
1388,1970,6,663.14,21.6,1
1393,1971,42,577.89,31.7,2
1399,1971,18,866.05,26,2
1425,1971,12,568.18,24,1
1429,1971,12,548.13,23.4,1
1440,1972,30,484.54,22.1,1
1443,1972,42,713.8,26.5,2
1445,1972,12,693.41,26.8,1
1448,1972,6,607.33,21.1,1
1490,1972,24,484.41,28.1,1
1522,1973,6,514.79,20.6,1
1523,1973,30,408.93,20.5,1
1528,1973,18,562.15,20.6,1
1531,1973,102,756.16,28.8,4
1532,1973,24,356.97,19.2,1
1536,1973,18,535.01,19.5,1
1538,1973,48,497.02,23.2,2
1543,1974,36,892.07,29.2,3
1549,1974,24,627.12,19.1,2
1559,1974,18,666.47,30.2,1
1563,1974,24,405.4,29.1,1
1587,1974,6,691.39,21.6,1
1598,1975,24,409.13,20.8,1
1599,1975,24,528.57,18.2,2
1606,1975,12,570.82,21.2,1
1609,1975,24,476.67,21.9,1
1611,1975,36,427.81,21.5,1
1636,1975,30,611.36,23.7,2
1640,1975,12,627.05,27.6,1
1641,1975,6,500,24.8,1
1643,1975,18,506.37,20.9,1
1647,1975,30,413.77,24.9,1
1661,1976,24,379.73,18.5,1
1714,1977,6,536.21,18.1,1
1731,1977,30,531.2,27.2,2
1736,1977,6,598.29,25.3,1
1738,1977,36,395.94,27,1
1752,1977,12,664.44,24.2,1
1754,1977,48,501.97,24.9,3
1755,1977,18,608.83,26.9,1
1761,1978,18,547.34,24.5,1
1766,1978,18,562.63,22.4,1
1813,1978,24,535,22.9,2
1823,1979,6,528.01,19.5,1
1845,1979,6,513.79,24,1
