depth(cm),Cdensity,CumulC,CAccRate
1,0.059266667,0.059266667,33.10986965
2,0.0641,0.123366667,35.81005587
3,0.066391667,0.189758333,37.09031657
4,0.056066667,0.245825,31.32216015
5,0.040141667,0.285966667,22.4255121
6,0.03735,0.323316667,28.73076923
7,0.033575,0.356891667,26.02713178
8,0.034491667,0.391383333,26.53205128
9,0.028575,0.419958333,22.15116279
10,0.0357,0.455658333,27.46153846
11,0.032758333,0.488416667,30.6152648
12,0.032716667,0.521133333,30.29320988
13,0.029583333,0.550716667,27.39197531
14,0.032133333,0.58285,29.75308642
15,0.036116667,0.618966667,33.44135802
16,0.033275,0.652241667,34.66145833
17,0.034633333,0.686875,35.34013605
18,0.032291667,0.719166667,33.63715278
19,0.032416667,0.751583333,33.76736111
20,0.030858333,0.782441667,32.14409722
21,0.031208333,0.81365,32.50868056
22,0.031433333,0.845083333,32.40549828
23,0.030266667,0.87535,31.20274914
24,0.030441667,0.905791667,32.04385965
25,0.037033333,0.942825,38.98245614
26,0.070525,1.01335,48.63793103
27,0.069716667,1.083066667,48.08045977
28,0.06485,1.147916667,45.03472222
29,0.058283333,1.2062,40.75757576
30,0.058891667,1.265091667,41.18298368
31,0.044308333,1.3094,23.6942959
32,0.049058333,1.358458333,26.37544803
33,0.043483333,1.401941667,23.63224638
34,0.053808333,1.45575,29.89351852
35,0.04745,1.5032,26.36111111
36,0.046308333,1.549508333,15.28327833
37,0.039833333,1.589341667,13.10307018
38,0.056733333,1.646075,18.72387239
39,0.039741667,1.685816667,13.11606161
40,0.042666667,1.728483333,14.36588103
41,0.048016667,1.7765,9.7003367
42,0.046116667,1.822616667,9.279007378
43,0.042875,1.865491667,8.679149798
44,0.046216667,1.911708333,9.412763069
45,0.045075,1.956783333,9.217791411
46,0.046891667,2.003675,12.21137153
47,0.054158333,2.057833333,13.92245073
48,0.051233333,2.109066667,13.20446735
49,0.057575,2.166641667,14.87726098
50,0.050291667,2.216933333,13.16535777
51,0.04015,2.257083333,18.33333333
52,0.0475,2.304583333,21.88940092
53,0.047875,2.352458333,21.86073059
54,0.055441667,2.4079,25.43195719
55,0.052725,2.460625,24.63785047
56,0.048358333,2.508983333,21.02536232
57,0.042883333,2.551866667,18.72634643
58,0.041841667,2.593708333,18.27147016
59,0.052775,2.646483333,22.94565217
60,0.0389,2.685383333,16.83982684
61,0.033875,2.719258333,6.885162602
62,0.03495,2.754208333,7.103658537
63,0.034775,2.788983333,7.111451943
64,0.0349,2.823883333,7.255717256
65,0.038825,2.862708333,8.054979253
66,0.046633333,2.909341667,8.651824366
67,0.071116667,2.980458333,13.12115621
68,0.075383333,3.055841667,13.98577613
69,0.067425,3.123266667,12.57929104
70,0.058775,3.182041667,11.04793233
