labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),thickness(cm),
210Pb_207,1,0.041283837,517.34656,18.64668904,1,2012.52
210Pb_208,3,0.08398919,470.4422723,20.68499817,1,2
210Pb_209,4.5,0.064252553,417.7979953,21.94128817,1,
210Pb_210,7.5,0.134475477,405.1886525,22.34085929,1,
210Pb_211,9,0.070222923,378.3258842,18.75671426,1,
210Pb_212,10.5,0.067499597,331.7742012,15.70097184,1,
210Pb_213,12.5,0.091500783,327.2962112,16.57014186,1,
210Pb_214,15,0.14692497,330.970494,18.13777809,1,
210Pb_215,17.5,0.161005467,194.3793158,10.65197114,1,
210Pb_216,19,0.079649823,153.1535755,8.810849108,1,
210Pb_218,22.5,0.156052603,105.2151248,5.458898975,1,
210Pb_219,24,0.077689627,97.93375263,5.088921001,1,
210Pb_220,26,0.08448298,81.08084174,3.794536852,1,
210Pb_221,28,0.11545708,76.10047699,3.411920037,1,
210Pb_222,40,0.96015221,5.519650782,0.878773583,1,
210Pb_223,50,0.919855953,4.580701912,0.847923215,1,
