labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),thickness(cm),
210Pb_122,1,0.0451,321.0039448,10.09168372,1,2012.52
210Pb_123,3,0.0423,391.517971,14.55484586,1,
210Pb_124,5,0.0411,348.7948092,11.32477515,1,
210Pb_125,7,0.0448,359.0414853,11.48687675,1,
210Pb_126,9,0.0494,320.072564,11.89400986,1,
210Pb_127,11,0.0596,270.0045816,9.159777473,1,
210Pb_128,13,0.0602,295.1984557,10.65153176,1,
210Pb_129,15,0.0617,228.6450909,8.517805124,1,
210Pb_130,17,0.058,155.9807847,6.827277093,1,
210Pb_131,19,0.0588,57.48201278,2.825159012,1,
210Pb_132,21,0.0772,40.50478569,2.214511181,1,
210Pb_133,23,0.1181,26.70150239,1.871288278,1,
210Pb_134,25,0.1176,21.3025389,1.855815242,1,
210Pb_135,27,0.1118,10.87112765,1.025579704,1,
210Pb_136,29,0.0912,12.88006024,1.161135394,1,
210Pb_137,40,0.0899,6.97044831,0.982016087,1,
210Pb_138,50,0.0911,13.82463079,1.147622801,1,
