labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),thickness(cm),
210Pb_088,1.0,0.0398,432.5671653,19.89897265,1,2012.52
210Pb_089,3.0,0.0411,343.9830171,17.00995336,1,
210Pb_090,5.0,0.0358,397.2696975,17.9537804,1,
210Pb_091,7.0,0.0361,327.9149697,16.47268415,1,
210Pb_092,9.0,0.0331,345.1838839,18.2953116,1,
210Pb_093,11.0,0.0302,320.4466271,15.90669695,1,
210Pb_094,13.0,0.0322,327.1763793,15.96376,1,
210Pb_095,15.0,0.0371,263.3742458,11.32910563,1,
210Pb_096,17.0,0.0355,281.3916607,12.72761469,1,
210Pb_097,19.0,0.0334,231.8418007,11.8869426,1,
210Pb_098,21.0,0.0391,227.4380283,12.1322843,1,
210Pb_100,25.0,0.0418,235.1670688,12.54664886,1,
210Pb_101,27.0,0.0424,202.3493798,10.43485439,1,
210Pb_102,29.0,0.1191,124.4478978,7.101621819,1,
210Pb_103,40.0,0.0960,4.065039382,1.028481763,1,
210Pb_104,50.0,0.1222,2.089946164,0.665539377,1,
