labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),thickness(cm),
210Pb_071,2,0.0643,1324.702428,48.74406645,2,2012.52
210Pb_072,3,0.1467,985.3960777,38.02919935,1,
210Pb_073,4,0.0848,823.382264,31.31951514,1,
210Pb_074,5,0.0717,627.8470694,23.43226827,1,
210Pb_075,6,0.093,297.3266026,12.00383606,1,
210Pb_076,7,0.0678,165.7406862,11.11594088,1,
210Pb_077,8,0.0777,126.9014861,9.135472927,1,
210Pb_078,9,0.0698,68.08875479,3.985462566,1,
210Pb_079,10,0.0659,41.09885446,3.938678924,1,
210Pb_080,12,0.0633,48.69644259,1.896876524,1,
210Pb_081,14,0.0536,25.21080384,1.219343838,1,
210Pb_082,16,0.053,23.66631421,1.265425418,1,
210Pb_083,18,0.055,28.32505823,1.232848828,1,
210Pb_084,20,0.0544,11.07344266,0.777182994,1,
210Pb_085,25,0.0609,7.782767748,0.62697458,1,
210Pb_086,30,0.1293,6.631562325,0.498553814,1,
210Pb_087,50,0.0554,4.022301477,0.527513087,1,
